entry_id,theme_id,theme,category,type,subsection,lemma,primary_sense,query,query_status
2006,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,εισιτήριο,ticket for bus,ticket for bus photo,generated
2007,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,εξώστης,balcony of building,balcony of building photo,generated
2008,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,επιθεώρηση,,,no_english
2009,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,έργο,film,film photo,generated
2010,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,θεατής,spectator,spectator photo,generated
2011,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,θέατρο,theatre building,theatre building photo,generated
2012,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,θέση,position,position photo,generated
2013,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,θεωρείο,"box, loge, gallery at a theatre, concert hall, parliament",,needs_review
2014,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,θηριοδαμαστής,tamer,tamer photo,generated
2015,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,θρίλερ,thriller,thriller photo,generated
2016,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,καμαρίνι,dressing room,dressing room photo,generated
2017,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,κινηματογράφος,(colloquial) Alternative form of κινηματογράφος (kinimatográfos),,needs_review
2018,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,κλόουν,clown,clown photo,generated
2019,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,κοινό,Nominative,Nominative photo,generated
2020,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,κούνια,swing,swing photo,generated
2021,8,Ελεύθερος χρόνος: παιχνίδια - χόμπι - διασκέδαση - άθληση,Ουσιαστικά,noun,,κωμωδία,comedy,comedy photo,generated
