entry_id,theme_id,theme,category,type,subsection,lemma,primary_sense,query,query_status
8610,16,Xionanthropos,Εκφράσεις,phrase,,σιωπηλά,silently,silently photo,needs_review
8611,16,Xionanthropos,Ρήματα,verb,,διαταράσσω,disrupt,disrupt action photo,generated
8612,16,Xionanthropos,Ουσιαστικά,noun,,δίδυμα,twins,twins photo,generated
8613,16,Xionanthropos,Ουσιαστικά,noun,,ανάσα,breath,breath photo,generated
8614,16,Xionanthropos,Ουσιαστικά,noun,,αχνός,steam,steam photo,generated
8615,16,Xionanthropos,Ουσιαστικά,noun,,κούκλος/κούκλα,very handsome/pretty,very handsome/pretty photo,generated
8616,16,Xionanthropos,Επίθετα,adjective,,απίθανος,incredible,incredible example photo,generated
8617,16,Xionanthropos,Ρήματα,verb,,τουρτουρίζω,shiver,shiver action photo,generated
8618,16,Xionanthropos,Ουσιαστικά,noun,,παρασκήνια,backstage,backstage photo,generated
8619,16,Xionanthropos,Ρήματα,verb,,κοντοστέκομαι,hesitate,hesitate action photo,generated
8620,16,Xionanthropos,Ουσιαστικά,noun,,ύφος,face expression,face expression photo,generated
8621,16,Xionanthropos,Επίθετα,adjective,,θλιμμένος,gloomy,gloomy example photo,generated
8622,16,Xionanthropos,Εκφράσεις,phrase,,καταφατικά,affirmatively,affirmatively photo,needs_review
8623,16,Xionanthropos,Ουσιαστικά,noun,,χάρη,favor,favor photo,generated
8624,16,Xionanthropos,Ρήματα,verb,,χαρίζω,give away,give away action photo,generated
8625,16,Xionanthropos,Εκφράσεις,phrase,,βιαστικά,in hurry,in hurry photo,needs_review
8626,16,Xionanthropos,Ουσιαστικά,noun,,μυστικό,secret,secret photo,generated
8627,16,Xionanthropos,Επίθετα,adjective,,απογοητευμένος,disappointed,disappointed example photo,generated
8628,16,Xionanthropos,Ουσιαστικά,noun,,θεατής,viewer,viewer photo,generated
