entry_id,theme_id,theme,category,type,subsection,lemma,primary_sense,query,query_status
8629,17,Yi Adoption,Ουσιαστικά,noun,,οικόπεδο,plot of land,plot of land photo,generated
8630,17,Yi Adoption,Ουσιαστικά,noun,,σκουπιδότοπος,dump,dump photo,generated
8631,17,Yi Adoption,Ουσιαστικά,noun,,εφημερίδα,newspaper,newspaper photo,generated
8632,17,Yi Adoption,Ρήματα,verb,,ανακοινώνω,announce,announce action photo,generated
8633,17,Yi Adoption,Ουσιαστικά,noun,,υιοθεσία,adoption,adoption photo,generated
8634,17,Yi Adoption,Ουσιαστικά,noun,,Δήμος,municipality,municipality photo,generated
8635,17,Yi Adoption,Ουσιαστικά,noun,,κάδος απορριμάτων,trash can,trash can photo,generated
8636,17,Yi Adoption,Ουσιαστικά,noun,,όψη,appearance,appearance photo,generated
8637,17,Yi Adoption,Ουσιαστικά,noun,,μηχάνημα,machine,machine photo,generated
8638,17,Yi Adoption,Ουσιαστικά,noun,,παλιοσίδερα,scrap metal,scrap metal photo,generated
8639,17,Yi Adoption,Ουσιαστικά,noun,,πινακίδα,sign,sign photo,generated
8640,17,Yi Adoption,Ουσιαστικά,noun,,ξυλουργός,carpenter,carpenter photo,generated
8641,17,Yi Adoption,Ουσιαστικά,noun,,στύλος,pole,pole photo,generated
8642,17,Yi Adoption,Επίθετα,adjective,,ξεραμένος,withered,withered example photo,generated
8643,17,Yi Adoption,Ρήματα,verb,,κλαδεύω,cut branches,cut branches action photo,generated
8644,17,Yi Adoption,Εκφράσεις,phrase,,Σύλλογος Γονέων και Κηδεμόνων,Parents' Group,Parents' Group photo,needs_review
8645,17,Yi Adoption,Ουσιαστικά,noun,,λάστιχο,hose,hose photo,generated
8646,17,Yi Adoption,Εκφράσεις,phrase,,σχεδόν,almost,almost photo,needs_review
8647,17,Yi Adoption,Ρήματα,verb,,φροντίζω,take care of something,take care of something action photo,generated
8648,17,Yi Adoption,Ρήματα,verb,,υπόσχομαι,promise,promise action photo,generated
