entry_id,theme_id,theme,category,type,subsection,lemma,primary_sense,query,query_status
556,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,αδιέξοδο,dead-end,dead-end photo,generated
557,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,αθλητικόκέντρο,,,no_english
558,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,ανθοπωλείο,florist's,florist's photo,generated
559,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,απορριμματοφόρο(όχημα),dust cart,dust cart photo,generated
560,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,ασθενοφόρο,ambulance,ambulance photo,generated
561,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,αστυφιλία,rural exodus,rural exodus photo,generated
562,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,αστυνομία,police,police photo,generated
563,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,αστυνομικότμήμα,,,no_english
564,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,άσφαλτος,free from errors,free from errors photo,generated
565,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,βιβλιοπωλείο,bookshop,bookshop photo,generated
566,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,βιβλιοπώλης,bookseller,bookseller photo,generated
567,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,γαλατάδικο,dairy shop,dairy shop photo,generated
568,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,γαλακτοπωλείο,dairy shop,dairy shop photo,generated
569,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,γαλακτοπώλης,,,no_english
570,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,γαλατάς,milkman,milkman photo,generated
571,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,γειτονιά,neighbourhood,neighbourhood photo,generated
572,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,γείτονας,neighbour,neighbour photo,generated
573,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,γειτόνισσα,neighbour,neighbour photo,generated
574,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,γήπεδο,ground,ground photo,generated
575,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,γκαράζ,garage,garage photo,generated
576,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,γωνία,angle,angle photo,generated
577,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,δημαρχείο,town hall,town hall photo,generated
578,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,δήμαρχος,mayor,mayor photo,generated
579,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,δήμος,people,people photo,generated
580,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,δημοτικήβιβλιοθήκη,,,no_english
581,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,διάβαση,pedestrian crossing,pedestrian crossing photo,generated
582,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,διασταύρωση,hybridisation,hybridisation photo,generated
583,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,δρόμος,roadway,roadway photo,generated
584,3,Η γειτονιά μου - Χωροταξικά,Ουσιαστικά,noun,,εισιτήριο,ticket for bus,ticket for bus photo,generated
