entry_id,theme_id,theme,category,type,subsection,lemma,primary_sense,query,query_status
8580,14,TetRadio Zografikis,Ουσιαστικά,noun,,σχέδιο,drawing,drawing photo,generated
8581,14,TetRadio Zografikis,Ρήματα,verb,,γεμίζω,fill up,fill up action photo,generated
8582,14,TetRadio Zografikis,Ρήματα,verb,,ανακατεύω,blend,blend action photo,generated
8583,14,TetRadio Zografikis,Ρήματα,verb,,ξανθίζω,make color lighter,make color lighter action photo,generated
8584,14,TetRadio Zografikis,Ρήματα,verb,,σκουραίνω,make color darker,make color darker action photo,generated
8585,14,TetRadio Zografikis,Ρήματα,verb,,χύνομαι,spill,spill action photo,generated
8586,14,TetRadio Zografikis,Ρήματα,verb,,ναυαγώ,am shipwrecked,am shipwrecked action photo,generated
8587,14,TetRadio Zografikis,Ουσιαστικά,noun,,περίπατος,stroll,stroll photo,generated
8588,14,TetRadio Zografikis,Ουσιαστικά,noun,,τόπος,homeland,homeland photo,generated
8589,14,TetRadio Zografikis,Επίθετα,adjective,,μαζεμένος,curled up,curled up example photo,generated
